"NMI","METER SERIAL NUMBER","CON/GEN","DATE","ESTIMATED?","00:00 - 00:30","00:30 - 01:00","01:00 - 01:30","01:30 - 02:00","02:00 - 02:30","02:30 - 03:00","03:00 - 03:30","03:30 - 04:00","04:00 - 04:30","04:30 - 05:00","05:00 - 05:30","05:30 - 06:00","06:00 - 06:30","06:30 - 07:00","07:00 - 07:30","07:30 - 08:00","08:00 - 08:30","08:30 - 09:00","09:00 - 09:30","09:30 - 10:00","10:00 - 10:30","10:30 - 11:00","11:00 - 11:30","11:30 - 12:00","12:00 - 12:30","12:30 - 13:00","13:00 - 13:30","13:30 - 14:00","14:00 - 14:30","14:30 - 15:00","15:00 - 15:30","15:30 - 16:00","16:00 - 16:30","16:30 - 17:00","17:00 - 17:30","17:30 - 18:00","18:00 - 18:30","18:30 - 19:00","19:00 - 19:30","19:30 - 20:00","20:00 - 20:30","20:30 - 21:00","21:00 - 21:30","21:30 - 22:00","22:00 - 22:30","22:30 - 23:00","23:00 - 23:30","23:30 - 00:00"
6407343285,1224857,Consumption,14/12/2016,No,0.044,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,15/12/2016,No,0,0,0.025,0.044,0.044,0.025,0.05,0.037,0.031,0.044,0.037,0.037,0.044,0.056,0.188,0.069,0.131,0.056,0.056,0.044,0.031,0.044,0.037,0.031,0.044,0.025,0.037,0.037,0.037,0.044,0.037,0.037,0.044,0.031,0.037,0.044,0.094,0.037,0.063,0.113,0.1,0.156,0.131,0.163,0.537,0.481,0.494,0.056
6407343285,1224857,Consumption,15/12/2016,No,0.044,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,16/12/2016,No,0,0,0.031,0.044,0.031,0.037,0.044,0.031,0.05,0.031,0.037,0.044,0.031,0.05,0.094,0.206,0.025,0.044,0.044,0.025,0.044,0.044,0.031,0.044,0.037,0.031,0.044,0.044,0.025,0.05,0.037,0.037,0.044,0.044,0.031,0.044,0.125,0.106,0.287,0.081,0.056,0.163,0.212,0.05,0.05,0.044,0.05,0.044
6407343285,1224857,Consumption,16/12/2016,No,0.05,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,17/12/2016,No,0,0,0.05,0.044,0.031,0.044,0.044,0.025,0.044,0.044,0.031,0.037,0.05,0.025,0.044,0.05,0.025,0.044,0.05,0.025,0.044,0.044,0.113,0.063,0.056,0.05,0.119,0.1,0.1,0.05,0.081,0.05,0.063,0.075,0.087,0.1,0.094,0.244,0.181,0.156,0.138,0.813,0.475,0.125,0.063,0.044,0.05,0.044
6407343285,1224857,Consumption,17/12/2016,No,0.037,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,18/12/2016,No,0,0,0.044,0.031,0.037,0.044,0.037,0.044,0.044,0.025,0.044,0.044,0.031,0.044,0.037,0.031,0.044,0.031,0.056,0.131,0.794,0.706,1.681,0.738,0.444,0.481,0.469,0.431,0.294,0.325,0.119,0.119,0.544,0.394,0.4,0.45,0.456,0.281,0.212,1.263,0.775,0.306,0.181,0.181,0.15,0.094,0.081,0.144
6407343285,1224857,Consumption,18/12/2016,No,0.081,0.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,19/12/2016,No,0,0,0.063,0.063,0.044,0.056,0.044,0.05,0.037,0.044,0.044,0.044,0.031,0.056,0.113,0.194,0.037,0.044,0.044,0.044,0.031,0.044,0.044,0.044,0.037,0.044,0.044,0.044,0.031,0.044,0.044,0.044,0.037,0.044,0.044,0.044,0.044,0.106,0.131,0.113,0.094,0.662,0.381,0.662,0.175,0.381,0.131,0.075
6407343285,1224857,Consumption,19/12/2016,No,0.069,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,20/12/2016,No,0,0,0.056,0.056,0.05,0.037,0.05,0.056,0.05,0.037,0.05,0.05,0.056,0.056,0.188,0.231,0.044,0.037,0.044,0.044,0.044,0.037,0.037,0.044,0.037,0.031,0.044,0.037,0.031,0.044,0.05,0.037,0.031,0.044,0.044,0.037,0.044,0.113,0.131,0.087,0.125,0.1,0.256,0.294,0.15,0.069,0.05,0.044
6407343285,1224857,Consumption,20/12/2016,No,0.031,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,21/12/2016,No,0,0,0.044,0.081,0.1,0.056,0.056,0.05,0.031,0.044,0.044,0.025,0.044,0.05,0.05,0.263,0.225,0.044,0.031,0.044,0.037,0.031,0.037,0.05,0.037,0.031,0.044,0.044,0.025,0.619,0.056,0.037,0.037,0.044,0.037,0.031,0.244,0.181,0.087,0.081,0.094,0.1,0.1,0.094,0.206,0.619,0.575,0.225
6407343285,1224857,Consumption,21/12/2016,No,0.05,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,22/12/2016,No,0,0,0.025,0.044,0.037,0.031,0.044,0.044,0.037,0.037,0.044,0.031,0.044,0.05,0.069,0.081,0.138,0.094,0.063,0.05,0.056,0.031,0.044,0.037,0.031,0.044,0.044,0.031,0.044,0.044,0.031,0.037,0.063,0.069,0.081,0.15,0.138,0.106,0.094,0.1,0.1,0.106,0.113,0.113,0.056,0.044,0.037,0.037
6407343285,1224857,Consumption,22/12/2016,No,0.044,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,23/12/2016,No,0,0,0.025,0.044,0.044,0.031,0.037,0.044,0.031,0.044,0.044,0.025,0.044,0.044,0.031,0.044,0.037,0.037,0.044,0.063,0.063,0.081,0.037,0.063,0.069,0.694,0.375,0.144,0.069,0.069,0.069,0.075,0.1,0.456,0.125,0.037,0.05,0.05,0.044,0.044,0.037,0.081,0.106,0.106,0.113,0.244,0.425,0.431
6407343285,1224857,Consumption,23/12/2016,No,0.306,0.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,24/12/2016,No,0,0,0.063,0.056,0.044,0.063,0.056,0.05,0.037,0.05,0.05,0.05,0.044,0.05,0.05,0.044,0.044,0.05,0.05,0.087,0.125,0.113,0.1,0.113,0.575,0.456,0.119,0.063,0.063,0.05,0.037,1.188,0.669,0.537,0.381,0.388,0.369,0.381,1.169,0.475,0.05,0.05,0.037,0.044,0.044,0.05,0.037,0.037
6407343285,1224857,Consumption,24/12/2016,No,0.087,0.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6407343285,1224857,Consumption,25/12/2016,No,0,0,0.05,0.05,0.056,0.05,0.05,0.044,0.05,0.05,0.05,0.044,0.05,0.05,0.044,0.044,0.05,0.063,0.081,0.131,0.056,0.619,0.081,0.106,1.738,1.3,0.875,0.356,0.531,0.887,1.363,1.488,1.444,1.481,1.55,2,1.356,0.606,0.569,0.919,0.938,0.55,0.319,0.044,0.713,1.063,0.394,0.194
6407343285,1224857,Consumption,25/12/2016,No,0.194,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
